Pd2,Qd2,Pd3,Qd3,Pd4,Qd4,PdT,QdT
624.1422792,336.3036622,514.6,271.1130445,654.6450809,364.0859842,1793.38736,971.5026908
611.3179118,329.3935683,503.08,265.0438213,639.989987,355.935439,1754.387899,950.3728286
608.6461686,327.9539654,500.68,263.7793998,636.9368425,354.2374088,1746.263011,945.970774
615.4591138,331.6249528,506.8,267.0036746,644.7223611,358.5673859,1766.981475,957.1960133
631.8458055,340.4545171,521.52,274.7587932,663.4483144,368.9819714,1816.81412,984.1952817
660.9678064,356.1461886,547.68,288.5409876,696.7275902,387.490501,1905.375397,1032.177677
687.9078837,370.6621843,571.88,301.2905711,727.5134646,404.6123059,1987.301348,1076.565061
706.6991442,380.7873912,588.76,310.183669,748.9872481,416.5551186,2044.446392,1107.526179
716.5845941,386.1139219,597.64,314.8620286,760.283883,422.8378305,2074.508477,1123.813781
727.4051541,391.9443136,607.36,319.9829357,772.6491185,429.714853,2107.414273,1141.642102
719.6125697,387.7454718,600.36,316.2950396,763.7441135,424.7622648,2083.716683,1128.802776
710.66223,382.9228022,592.32,312.0592276,753.5160792,419.0738635,2056.498309,1114.055893
697.9269207,376.0606951,580.88,306.0321518,738.9627567,410.9799193,2017.769677,1093.072766
690.2233945,371.9098401,573.96,302.3864031,730.1595232,406.0839321,1994.342918,1080.380175
679.4473636,366.1034418,564.28,297.2865697,717.8451735,399.2352101,1961.572537,1062.625222
692.9396667,373.3734364,576.4,303.6718983,733.2635536,407.8102629,2002.60322,1084.855598
726.9598635,391.7043798,606.96,319.7721988,772.140261,429.4318479,2106.060125,1140.908426
730.8338912,393.7918039,610.44,321.60561,776.5673207,431.8939918,2117.841212,1147.291406
709.1482422,382.1070272,590.96,311.3427221,751.7859639,418.1116463,2051.894206,1111.561396
690.8468012,372.2457475,574.52,302.6814348,730.8719236,406.4801392,1996.238725,1081.407321
676.6865622,364.6158522,561.8,295.9800008,714.6902574,397.4805789,1953.17682,1058.076432
651.438589,351.0116049,539.12,284.0312176,685.8380413,381.4341931,1876.39663,1016.477016
625.3445637,336.9514835,515.68,271.6820342,656.018996,364.8500978,1797.04356,973.4836154
679.002073,365.863508,563.88,297.0758328,717.3363161,398.9522051,1960.218389,1061.891546
659.85458,355.546354,546.68,288.0141453,695.4554467,386.7829884,1901.990027,1030.343488
650.2363045,350.3637836,538.04,283.4622279,684.4641262,380.6700795,1872.740431,1014.496091
647.0302127,348.6362602,535.16,281.9449221,680.8003527,378.6324432,1862.990565,1009.213625
652.6854024,351.6834196,540.24,284.6212809,687.2628421,382.2266072,1880.188245,1018.531308
680.0707703,366.4393492,564.84,297.5816014,718.5575739,399.6314172,1963.468344,1063.652368
722.1507258,389.1130946,602.64,317.4962401,766.6446008,426.3753935,2091.435327,1132.984728
753.5437084,406.0284284,630.84,332.3531928,802.5190495,446.3272488,2186.902758,1184.70887
765.8337272,412.6506017,641.88,338.1695317,816.5635145,454.1381879,2224.277242,1204.958321
774.6504798,417.4012912,649.8,342.3421227,826.6388916,459.7416877,2251.089371,1219.485102
