fbus,tbus,type,value,Sigma
1,0,V_i,1.001138958021642,0.01
1,0,P_i,1.8246694153409273,0.01
1,0,Q_i,1.173551306656464,0.01
2,0,V_i,0.9322618591982382,0.01
2,0,P_i,-0.6250334482276737,0.01
2,0,Q_i,-0.33512518691848137,0.01
3,0,V_i,0.911643438232046,0.01
3,0,P_i,-0.5216264588034315,0.01
3,0,Q_i,-0.2806175443073612,0.01
4,0,V_i,0.9410476096876554,0.01
4,0,P_i,-0.6604357931078506,0.01
4,0,Q_i,-0.3706423406805251,0.01
5,0,V_i,0.9551023704541048,0.01
5,0,P_i,0.0059584747587454615,0.01
5,0,Q_i,-0.005769526176763691,0.01
1,2,PL_i,0.806856780025445,0.01
2,1,PL_i,-0.8144445885151086,0.01
1,2,QL_i,0.488593641905839,0.01
2,1,QL_i,-0.41103548158390774,0.01
2,3,PL_i,0.18569009650807713,0.01
3,2,PL_i,-0.1736437573032462,0.01
2,3,QL_i,0.08341651654684941,0.01
3,2,QL_i,-0.07585276212147246,0.01
2,5,PL_i,-0.005322717670596148,0.01
5,2,PL_i,0.012833927014139565,0.01
2,5,QL_i,-0.017056109919882097,0.01
5,2,QL_i,0.007909794823666608,0.01
1,4,PL_i,0.9984507240225566,0.01
4,1,PL_i,-1.0066593636936123,0.01
1,4,QL_i,0.6878141023341205,0.01
4,1,QL_i,-0.5867342230255368,0.01
5,4,PL_i,0.0012560897240213498,0.01
4,5,PL_i,0.00182604765264341,0.01
5,4,QL_i,0.0038554147816037224,0.01
4,5,QL_i,-0.0006724610306904234,0.01
4,3,PL_i,0.3379903360142254,0.01
3,4,PL_i,-0.3456758714115191,0.01
4,3,QL_i,0.20949795350832554,0.01
3,4,QL_i,-0.19947526215956532,0.01
