Vw,Pw
0,0
0,0
0,0
0,0
0,0
3.12,17.41082727
3.5,24.57874807
3.76,30.47327703
3.68,28.56926589
0,0
3.72,29.51103524
4.24,43.69715828
4.7,59.5181192
5.02,72.5214997
5.1,76.04421014
6.72,173.965626
8.76,385.3611626
11.18,801.0894931
10.64,690.5267528
9.02,420.7026403
7.5,241.846282
6.48,155.9842118
4.52,52.93841442
4.04,37.80068939
3.32,20.97827992
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.16,18.08909639
3.6,26.74626402
4.72,60.28116278
7.38,230.4224078
10.22,611.9392536
12,990.6023711
12,990.6023711
12,990.6023711
11.92,970.9221105
11.76,932.3470269
10,573.2652611
8.4,339.7766133
6.4,150.2780486
4.44,50.1769819
0,0
0,0
5,71.65815763
3.6,26.74626402
0,0
0,0
0,0
0,0
0,0
3.94,35.06261399
4.96,69.95208353
6.82,181.8480921
8.72,380.1063105
11,763.0160625
11.04,771.3701792
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
10.96,754.7224826
9.02,420.7026403
7.46,237.9973424
6.7,172.4169797
6.72,173.965626
10.3,626.4224289
10.64,690.5267528
10.66,694.4280246
9.84,546.1864482
7.62,253.6416321
6.28,141.9824141
6.1,130.1203222
8.48,349.5772663
10.06,583.6460722
10.96,754.7224826
11.64,904.0960378
12,990.6023711
12,990.6023711
11.98,985.6576097
12,990.6023711
11.76,932.3470269
10.6,682.7680982
11.46,862.7986918
11.18,801.0894931
10.22,611.9392536
9.7,523.2037256
8.44,344.6537157
8.4,339.7766133
8.8,390.664224
10.38,641.1323421
9.88,552.8743716
7.28,221.1819909
7.02,198.3202044
7.44,236.0882819
8.64,369.7403538
9.5,491.5033032
11.36,840.4088539
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
12,990.6023711
11.88,961.1804901
11.48,867.3238505
11.04,771.3701792
10.56,675.067779
10.2,608.3536812
8.78,388.0066534
7.44,236.0882819
6.6,164.8114695
6.02,125.0676814
5.46,93.31115242
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.78,30.96214389
4.78,62.60936728
6.32,144.7127711
8,293.5118137
5.02,72.5214997
6.18,135.3072446
9.44,482.2493022
10.4,644.8454546
10.66,694.4280246
10.28,622.7804472
9.18,443.4898336
8.58,362.0907985
8.98,415.1304928
9.04,840.6173922
8.54,768.4586551
7.92,659.3222769
0,355.2554716
0,373.3027098
0,429.5860888
0,437.9956866
0,413.5742794
0,352.0205388
0,380.7820952
3.26,463.4656204
4.04,468.6169351
5.1,509.8511958
5.9,511.3089472
6.9,572.8457965
5.64,517.6931894
5,469.4467363
8.4,778.071264
10,974.3899048
10.12,991.718248
10.5,1074.540857
9.42,830.3606416
8.66,729.4935801
8.28,746.0665308
8.1,699.5679843
8.06,685.5119618
7.88,722.3962427
3.6,441.1684457
3.16,429.6809699
0,431.3770781
0,446.9383886
0,445.0970091
0,425.1211599
0,429.8200743
3.68,477.743598
4.88,497.46134
6.82,538.4998825
9.6,944.2871626
12,1430.23408
12,1395.796242
12,1346.433015
12,1406.291843
12,1363.769967
11,1195.733955
9.8,938.5346776
8.64,796.7697715
7.62,633.5774874
7.72,673.3965812
